iter	Logloss
0	0.5659877808
1	0.4678075007
2	0.3839992309
3	0.3294241844
4	0.2774747975
5	0.2397395359
6	0.2155129616
7	0.1869336541
8	0.1692871325
9	0.149675473
10	0.1335780863
11	0.1223536763
12	0.1129756277
13	0.1025650044
14	0.09827998865
15	0.09170131025
16	0.08649591155
17	0.08178829615
18	0.0759763374
19	0.07236069909
20	0.06818465982
21	0.06503684658
22	0.06147636535
23	0.05819999456
24	0.05653245605
25	0.05317173091
26	0.05115654161
27	0.0495448941
28	0.04710821138
29	0.04631754552
30	0.04502204593
31	0.04299600745
32	0.04057943685
33	0.03966052752
34	0.03922299996
35	0.03842283569
36	0.03701156123
37	0.0354168367
38	0.03501762447
39	0.03417442364
40	0.03262382452
41	0.03172972545
42	0.03081221539
43	0.02975062794
44	0.02791477551
45	0.02689814119
46	0.02635431528
47	0.02567330668
48	0.02493011255
49	0.02419944132
50	0.02339307012
51	0.02305154657
52	0.02244343945
53	0.02197066681
54	0.02133357814
55	0.0205549219
56	0.01992034571
57	0.01965559782
58	0.01915114888
59	0.01852072033
60	0.01815278538
61	0.01758401766
62	0.01713411819
63	0.01636503349
64	0.01620841812
65	0.01616737799
66	0.01603880881
67	0.01533381248
68	0.01525460438
69	0.01499211919
70	0.01495660957
71	0.01482783971
72	0.01480496871
73	0.01438565156
74	0.01409499748
75	0.01407275875
76	0.01404997217
77	0.0140211675
78	0.01391359043
79	0.0138814047
80	0.01368273784
81	0.01365780408
82	0.01329871426
83	0.01307510064
84	0.01280701884
85	0.01270924074
86	0.01269544979
87	0.01267949559
88	0.01239673017
89	0.01231052528
90	0.01228539887
91	0.01220457371
92	0.01219250649
93	0.0119355666
94	0.01144690734
95	0.01131240178
96	0.01130085204
97	0.01129308327
98	0.01128099177
99	0.01100845032
100	0.01076759602
101	0.0106636964
102	0.0103149493
103	0.01025824656
104	0.01007178685
105	0.009894695055
106	0.009605320488
107	0.009389675601
108	0.009333147468
109	0.009321227684
110	0.009309547368
111	0.009130838541
112	0.009123248323
113	0.008913968923
114	0.008821456466
115	0.008704921484
116	0.008623518377
117	0.008375393839
118	0.008368642221
119	0.008361945061
120	0.008355446513
121	0.008315958944
122	0.008099456273
123	0.008012234188
124	0.007908146313
125	0.007899692311
126	0.00789971134
127	0.007891701155
128	0.007883929388
129	0.007842264989
130	0.007837397817
131	0.007707395538
132	0.00762922632
133	0.007574610664
134	0.007348626276
135	0.007316877122
136	0.007039132782
137	0.006953731186
138	0.006949197875
139	0.006875492028
140	0.006830558325
141	0.006761462961
142	0.006755430083
143	0.006709154665
144	0.006681707234
145	0.006638436604
146	0.006613613024
147	0.006483318454
148	0.006300164382
149	0.006208701471
150	0.00620483966
151	0.006201110548
152	0.006166822874
153	0.006163146415
154	0.006160114305
155	0.006124528521
156	0.006070305541
157	0.005920456511
158	0.005876507204
159	0.005713900067
160	0.005596681542
161	0.00555102972
162	0.005462184592
163	0.005402872205
164	0.005282327677
165	0.005228336007
166	0.005184010854
167	0.005154488673
168	0.005130771061
169	0.005130662098
170	0.005130569753
171	0.005130610608
172	0.005070371772
173	0.00507037513
174	0.00507040927
175	0.004993651962
176	0.004993670431
177	0.00499359001
178	0.00499359001
179	0.004993514455
180	0.004993569862
181	0.004993475666
182	0.004993482942
183	0.004958064155
184	0.004866015946
185	0.004806606579
186	0.004728536784
187	0.004702507336
188	0.004699134776
189	0.004699116867
190	0.004699088883
191	0.004687237524
192	0.004687171483
193	0.004687139582
194	0.004687139582
195	0.004670568053
196	0.004567262461
197	0.004567245283
198	0.004567226814
199	0.004567226814
